HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_SLD,SEJ_SSR,YEAR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490
3400891191226,1471.0,112.0,1.0,5270.0,571675.0,683.0,2379.0,0.11924025807583041,72785.0,109.0,1049.0,2013.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400891225037,1471.0,112.0,1.0,5270.0,571675.0,683.0,20.0,0.00022605428642179226,72785.0,109.0,1049.0,2013.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400891996128,1471.0,112.0,1.0,5270.0,571675.0,683.0,110.0,0.000319992566063438,72785.0,109.0,1049.0,2013.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892761695,1471.0,112.0,1.0,5270.0,571675.0,683.0,1643.0,0.12510474366476942,72785.0,109.0,1049.0,2013.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3400892065366,1471.0,112.0,1.0,5270.0,571675.0,683.0,3490.5,0.11697177073335534,72785.0,109.0,1049.0,2013.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892075761,1471.0,112.0,1.0,5270.0,571675.0,683.0,1140.0,0.12679258657583137,72785.0,109.0,1049.0,2013.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892088310,1471.0,112.0,1.0,5270.0,571675.0,683.0,20.0,0.001676531672731766,72785.0,109.0,1049.0,2013.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3400892669236,1471.0,112.0,1.0,5270.0,571675.0,683.0,30.0,0.0007450106468221526,72785.0,109.0,1049.0,2013.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3400892761695,1471.0,112.0,1.0,5270.0,571675.0,683.0,1643.0,0.12510474366476942,72785.0,109.0,1049.0,2013.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3400892761527,1471.0,112.0,1.0,5270.0,571675.0,683.0,50.0,0.0015013873935899019,72785.0,109.0,1049.0,2013.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
